Date,Dividends
2007-12-21,1.215
2012-09-21,0.563
2016-06-13,0.483
1995-12-27,0.36
2017-03-21,0.138
1999-12-23,0.65
2016-09-12,0.131
2002-12-13,0.4
2017-06-20,0.406
1990-12-27,0.14
2013-03-21,0.117
2011-12-20,0.988
2017-09-19,0.112
2013-06-21,0.5
2015-12-18,0.1
2000-12-27,0.423
1992-12-29,0.26
2004-12-17,0.58
1996-12-27,0.4
2003-12-12,0.46
1991-12-27,0.26
2000-03-24,0.05
2008-12-23,1.497
2012-12-19,0.184
2016-03-14,0.139
1996-03-26,0.02
2016-12-19,0.11
2001-12-26,0.44
2005-12-23,0.7
1993-12-29,0.17
2015-03-24,0.16
1997-12-29,0.42
2001-03-23,0.01
2015-06-25,0.46
2009-12-23,0.982
2013-12-19,0.116
2015-09-24,0.111
1997-03-25,0.03
2017-12-18,0.156
1998-12-29,0.6
2006-12-21,0.924
2013-09-20,0.099
2014-03-24,0.46
1994-12-28,0.31
2018-03-23,0.135
2014-06-23,0.516
2014-12-22,0.147
1998-03-27,0.06
1994-03-23,0.03
2010-12-21,1.007
2014-09-23,0.133
