Date,Dividends
2001-12-26,0.2
2007-12-21,0.587
2005-12-23,0.315
2012-09-21,0.314
2016-06-13,0.129
1995-12-27,0.18
2015-03-24,0.032
2017-03-21,0.034
1999-12-23,0.27
2003-12-19,0.172
2016-09-12,0.28
1997-12-29,0.23
2017-06-20,0.149
2017-12-20,0.121
2001-03-23,0.0
2013-03-21,0.024
2015-06-25,0.232
2011-12-20,0.529
2017-09-19,0.318
2009-12-23,0.314
2013-12-19,0.126
2015-09-24,0.275
2013-06-21,0.307
2015-12-18,0.094
1998-12-29,0.26
2000-12-27,0.208
2004-12-23,0.259
2006-12-21,0.396
2013-09-20,0.207
2014-03-24,0.055
1994-12-28,0.07
1996-12-27,0.16
2002-12-20,0.122
2018-03-23,0.042
2014-06-23,0.252
2014-12-22,0.098
2000-03-24,0.0
2008-12-23,0.7
2010-12-21,0.434
2012-12-19,0.257
2014-09-23,0.27
2016-03-14,0.028
1996-03-26,0.0
2016-12-19,0.092
