,Date,VTSMX,VTSMX Div,VEURX,VEURX Div,VUSTX,VUSTX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
0,1995-09-29,14.57,0.0,13.95,0.0,10.34,0.055,11.09,0.0,10.93,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10000.0
1,1995-10-02,14.49,0.0,13.95,0.0,10.36,0.0,10.8,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,9995.944343919635
2,1995-10-03,14.47,0.0,13.89,0.0,10.39,0.0,10.9,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,9996.266716582435
3,1995-10-04,14.41,0.0,13.93,0.0,10.43,0.0,10.96,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10012.482408158456
4,1995-10-05,14.45,0.0,13.94,0.0,10.44,0.0,11.04,0.0,10.86,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10025.973530777925
5,1995-10-06,14.46,0.0,13.85,0.0,10.45,0.0,11.08,0.0,10.9,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10016.39594295737
6,1995-10-09,14.32,0.0,13.88,0.0,10.46,0.0,11.0,0.0,10.83,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10002.585914047822
7,1995-10-10,14.28,0.0,13.68,0.0,10.45,0.0,10.95,0.0,10.72,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,9955.044612216883
8,1995-10-11,14.37,0.0,13.7,0.0,10.45,0.0,10.75,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,9974.071532067414
9,1995-10-12,14.47,0.0,13.83,0.0,10.49,0.0,10.8,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10033.869927830121
10,1995-10-13,14.52,0.0,13.94,0.0,10.61,0.0,10.79,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10120.189541260233
11,1995-10-16,14.49,0.0,13.92,0.0,10.58,0.0,10.86,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10096.950978557019
12,1995-10-17,14.58,0.0,13.9,0.0,10.6,0.0,10.84,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10118.480619510132
13,1995-10-18,14.61,0.0,13.91,0.0,10.58,0.0,10.77,0.0,10.78,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10115.749117808144
14,1995-10-19,14.66,0.0,13.88,0.0,10.6,0.0,10.83,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10128.62322608376
15,1995-10-20,14.58,0.0,13.89,0.0,10.54,0.0,10.96,0.0,10.82,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10087.674965162953
16,1995-10-23,14.52,0.0,13.75,0.0,10.52,0.0,10.99,0.0,10.76,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10042.619052571008
17,1995-10-24,14.54,0.0,13.79,0.0,10.59,0.0,10.87,0.0,10.68,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10087.068349937257
18,1995-10-25,14.42,0.0,13.84,0.0,10.59,0.0,10.75,0.0,10.57,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10075.438669467494
19,1995-10-26,14.28,0.0,13.72,0.0,10.53,0.0,10.6,0.0,10.41,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10000.897790534029
20,1995-10-27,14.34,0.0,13.64,0.0,10.55,0.0,10.42,0.0,10.43,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10006.527179828485
21,1995-10-30,14.44,0.0,13.78,0.0,10.56,0.0,10.5,0.0,10.46,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,241.77949709864603,VUSTX,241.77949709864603,10053.610920460611
22,1995-10-31,14.4,0.0,13.87,0.0,10.59,0.057,10.55,0.0,10.46,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10104.946167231683
23,1995-11-01,14.47,0.0,13.83,0.0,10.63,0.0,10.44,0.0,10.36,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10129.235158705567
24,1995-11-02,14.62,0.0,13.86,0.0,10.67,0.0,10.56,0.0,10.27,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10179.795789011143
25,1995-11-03,14.66,0.0,13.88,0.0,10.65,0.0,10.57,0.0,10.3,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10180.520201990743
26,1995-11-06,14.63,0.0,13.85,0.0,10.64,0.0,10.61,0.0,10.26,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10165.134677221486
27,1995-11-07,14.56,0.0,13.9,0.0,10.61,0.0,10.59,0.0,10.23,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10147.499417639563
28,1995-11-08,14.67,0.0,13.94,0.0,10.68,0.0,10.59,0.0,10.15,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10207.573596248178
29,1995-11-09,14.72,0.0,13.93,0.0,10.63,0.0,10.64,0.0,10.13,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10190.052668047441
30,1995-11-10,14.71,0.0,13.87,0.0,10.58,0.0,10.69,0.0,10.02,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10153.27603939677
31,1995-11-13,14.69,0.0,13.8,0.0,10.64,0.0,10.56,0.0,9.83,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10166.469230718016
32,1995-11-14,14.6,0.0,13.87,0.0,10.62,0.0,10.58,0.0,9.81,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10153.848108732313
33,1995-11-15,14.68,0.0,13.97,0.0,10.59,0.0,10.56,0.0,9.82,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10170.911240060175
34,1995-11-16,14.77,0.0,14.05,0.0,10.64,0.0,10.55,0.0,9.91,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10224.99893406584
35,1995-11-17,14.83,0.0,14.05,0.0,10.66,0.0,10.63,0.0,9.95,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10245.017295432308
36,1995-11-20,14.75,0.0,14.08,0.0,10.63,0.0,10.83,0.0,9.92,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10222.081951964166
37,1995-11-21,14.78,0.0,14.09,0.0,10.61,0.0,10.85,0.0,10.08,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10219.298395752885
38,1995-11-22,14.76,0.0,14.14,0.0,10.61,0.0,10.83,0.0,10.21,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10224.827260238511
39,1995-11-24,14.8,0.0,14.14,0.0,10.64,0.0,10.78,0.0,10.18,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10246.27552981052
40,1995-11-27,14.84,0.0,14.12,0.0,10.68,0.0,10.87,0.0,10.18,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10269.001187188467
41,1995-11-28,14.95,0.0,14.08,0.0,10.67,0.0,11.01,0.0,10.25,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10275.845510661413
42,1995-11-29,15.01,0.0,14.03,0.0,10.69,0.0,10.93,0.0,10.39,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,243.080859830905,VUSTX,243.080859830905,10286.90329855118
43,1995-11-30,15.0,0.0,13.95,0.0,10.78,0.055,11.07,0.0,10.5,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,244.32106829943004,VUSTX,244.32106829943004,10341.343975843878
44,1995-12-01,15.02,0.0,14.0,0.0,10.82,0.0,11.19,0.0,10.6,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10373.281943775613
45,1995-12-04,15.18,0.0,13.97,0.0,10.93,0.0,11.28,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10443.49641721962
46,1995-12-05,15.26,0.0,14.06,0.0,10.9,0.0,11.24,0.0,10.71,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10456.572952020359
47,1995-12-06,15.29,0.0,14.06,0.0,10.9,0.0,11.29,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10473.532642222792
48,1995-12-07,15.19,0.0,14.03,0.0,10.86,0.0,11.48,0.0,10.7,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10486.110991969508
49,1995-12-08,15.22,0.0,13.95,0.0,10.87,0.0,11.4,0.0,10.65,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10460.46544583109
50,1995-12-11,15.26,0.0,14.03,0.0,10.89,0.0,11.39,0.0,10.62,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10484.189777398795
51,1995-12-12,15.23,0.0,14.04,0.0,10.88,0.0,11.37,0.0,10.67,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10473.666267238197
52,1995-12-13,15.29,0.0,13.99,0.0,10.86,0.0,11.38,0.0,10.63,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10472.476824711901
53,1995-12-14,15.17,0.0,14.13,0.0,10.85,0.0,11.47,0.0,10.62,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10495.79479390568
54,1995-12-15,15.14,0.0,14.09,0.0,10.84,0.0,11.38,0.0,10.65,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10459.773732866237
55,1995-12-18,14.88,0.0,14.01,0.0,10.72,0.0,11.41,0.0,10.59,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10378.593346253063
56,1995-12-19,15.03,0.0,13.88,0.0,10.81,0.0,11.31,0.0,10.56,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,236.24253431633898,VUSTX,244.32106829943004,10379.398315362032
