,Date,VUSTX,VUSTX Div,VPACX,VPACX Div,VTSMX,VTSMX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Capital
2889,2007-03-23,11.15,0.0,13.18,0.0,34.75,0.14,24.76,0.0,37.610001000000004,0.0,VEIEX,821.3302598865082,VEURX,541.5969630539622,40705.59955684643
2890,2007-03-26,11.17,0.0,13.18,0.0,34.779999,0.0,24.799999,0.0,37.630001,0.0,VEIEX,821.3302598865082,VEURX,541.5969630539622,40749.28388517271
2891,2007-03-27,11.14,0.0,13.07,0.0,34.560001,0.0,24.639999,0.0,37.439999,0.0,VEIEX,821.3302598865082,VEURX,541.5969630539622,40514.96653741669
2892,2007-03-28,11.12,0.0,13.01,0.0,34.310001,0.0,24.34,0.0,37.220001,0.0,VEIEX,821.3302598865082,VEURX,541.5969630539622,40149.41803210304
2893,2007-03-29,11.08,0.046,13.05,0.0,34.43,0.0,24.77,0.0,37.57,0.0,VEIEX,821.3302598865082,VEURX,541.5969630539622,40692.14843932616
2894,2007-03-30,11.05,0.047,12.98,0.0,34.41,0.0,24.799999,0.0,37.52,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,40689.70767763981
2895,2007-04-02,11.06,0.0,12.93,0.0,34.509997999999996,0.0,24.9,0.0,37.869999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,40801.12121263363
2896,2007-04-03,11.05,0.0,13.09,0.0,34.830002,0.0,25.23,0.0,38.240002000000004,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41252.53575115635
2897,2007-04-04,11.05,0.0,13.19,0.0,34.869999,0.0,25.4,0.0,38.299999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41441.80855305659
2898,2007-04-05,11.02,0.0,13.18,0.0,34.98,0.0,25.52,0.0,38.549999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41561.69461186661
2899,2007-04-09,10.96,0.0,13.17,0.0,35.0,0.0,25.66,0.0,38.400002,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41464.68620103467
2900,2007-04-10,10.98,0.0,13.28,0.0,35.09,0.0,25.790001,0.0,38.779999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41843.149881441714
2901,2007-04-11,10.96,0.0,13.17,0.0,34.869999,0.0,25.73,0.0,38.630001,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41589.40091420297
2902,2007-04-12,10.97,0.0,13.26,0.0,35.09,0.0,25.940001000000002,0.0,38.869999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41860.60350029
2903,2007-04-13,10.95,0.0,13.14,0.0,35.220001,0.0,26.049999,0.0,39.099998,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,41797.23019645843
2904,2007-04-16,10.99,0.0,13.31,0.0,35.59,0.0,26.41,0.0,39.639998999999996,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42356.498492871455
2905,2007-04-17,11.04,0.0,13.22,0.0,35.639998999999996,0.0,26.26,0.0,39.639998999999996,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42215.43248012155
2906,2007-04-18,11.08,0.0,13.33,0.0,35.639998999999996,0.0,26.17,0.0,39.529999,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42328.200069205035
2907,2007-04-19,11.06,0.0,13.19,0.0,35.57,0.0,25.92,0.0,39.459998999999996,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42070.80723250838
2908,2007-04-20,11.05,0.0,13.27,0.0,35.889998999999996,0.0,26.379998999999998,0.0,40.009997999999996,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42494.43083410007
2909,2007-04-23,11.07,0.0,13.13,0.0,35.830002,0.0,26.25,0.0,39.720001,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42117.746771124665
2910,2007-04-24,11.1,0.0,13.09,0.0,35.810001,0.0,26.27,0.0,39.669998,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42027.93712669198
2911,2007-04-25,11.07,0.0,13.16,0.0,36.16,0.0,26.540001,0.0,40.150002,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42397.93262120476
2912,2007-04-26,11.03,0.0,13.06,0.0,36.150002,0.0,26.389999,0.0,39.91,0.0,VPACX,1567.400141665632,VEURX,542.2402409067139,42111.053864740104
