,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
4518,2013-09-11,11.17,0.0,42.82,0.0,11.4,0.0,25.98,0.0,28.940001000000002,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,61206.97898869004
4519,2013-09-12,11.17,0.0,42.669998,0.0,11.32,0.0,25.780001000000002,0.0,28.799999,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,60988.687138864494
4520,2013-09-13,11.2,0.0,42.790001000000004,0.0,11.35,0.0,25.790001,0.0,28.92,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,61154.498830372875
4521,2013-09-16,11.14,0.0,43.009997999999996,0.0,11.47,0.0,26.059998999999998,0.0,29.110001,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,61375.903558645805
4522,2013-09-17,11.22,0.0,43.23,0.0,11.48,0.0,26.23,0.0,29.120001000000002,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,61642.8442803755
4523,2013-09-18,11.35,0.0,43.740002000000004,0.0,11.75,0.0,26.59,0.0,29.950001,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,62605.73093111097
4524,2013-09-19,11.29,0.0,43.68,0.0,11.69,0.0,26.85,0.0,29.719998999999998,0.0,VTSMX,505.07923919250146,VPACX,1781.6119223524431,VUSTX,1725.0769965666318,62365.0238314658
4525,2013-09-20,11.34,0.0,43.18,0.196,11.59,0.034,26.219998999999998,0.207,29.48,0.099,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62180.14720570435
4526,2013-09-23,11.41,0.0,42.98,0.0,11.62,0.0,26.309998999999998,0.0,29.370001000000002,0.0,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62253.0333745198
4527,2013-09-24,11.52,0.0,42.919998,0.0,11.61,0.0,26.17,0.0,29.34,0.0,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62394.48013363084
4528,2013-09-25,11.55,0.0,42.84,0.0,11.61,0.0,26.1,0.0,29.4,0.0,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62405.643709166965
4529,2013-09-26,11.48,0.0,43.009997999999996,0.0,11.71,0.0,26.0,0.0,29.43,0.0,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62549.82436090194
