,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VEIEX,VEIEX Div,VPACX,VPACX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
4087,2011-12-21,13.62,0.0,30.950001,0.0,24.049999,0.0,8.97,0.0,21.790001,0.0,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,59757.86863296746
4088,2011-12-22,13.66,0.0,31.219998999999998,0.0,24.27,0.0,9.01,0.0,22.02,0.0,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,59933.36898137559
4089,2011-12-23,13.5,0.0,31.48,0.0,24.43,0.0,9.08,0.0,22.129998999999998,0.0,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,59231.36758774308
4090,2011-12-27,13.57,0.0,31.5,0.0,24.309998999999998,0.0,9.02,0.0,22.18,0.0,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,59538.493197457305
4091,2011-12-28,13.79,0.0,31.07,0.0,23.9,0.0,8.89,0.0,21.780001000000002,0.0,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,VUSTX,1096.8771775507978,60503.745113702
4092,2011-12-29,13.31,0.508,31.42,0.0,24.15,0.0,9.02,0.0,22.08,0.0,VUSTX,1138.741460510663,VUSTX,1138.741460510663,VUSTX,1138.741460510663,VUSTX,1138.741460510663,60626.5953575877
4093,2011-12-30,13.34,0.032,31.290001,0.0,24.110001,0.0,9.06,0.0,22.16,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60909.00323979435
4094,2012-01-03,13.17,0.0,31.76,0.0,24.76,0.0,9.25,0.0,22.93,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60132.80154933221
4095,2012-01-04,13.05,0.0,31.75,0.0,24.690001000000002,0.0,9.31,0.0,22.690001000000002,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59584.89447371187
4096,2012-01-05,13.02,0.0,31.870001000000002,0.0,24.610001,0.0,9.2,0.0,22.280001000000002,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59447.91770480678
