,Date,VTSMX,VTSMX Div,VUSTX,VUSTX Div,VPACX,VPACX Div,VEURX,VEURX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Capital
0,1995-09-29,14.57,0.0,10.34,0.055,11.09,0.0,13.95,0.0,10.93,0.0,VTSMX,686.3417982155113,10000.0
1,1995-10-02,14.49,0.0,10.36,0.0,10.8,0.0,13.95,0.0,10.79,0.0,VTSMX,686.3417982155113,9945.092656142759
2,1995-10-03,14.47,0.0,10.39,0.0,10.9,0.0,13.89,0.0,10.74,0.0,VTSMX,686.3417982155113,9931.36582017845
3,1995-10-04,14.41,0.0,10.43,0.0,10.96,0.0,13.93,0.0,10.79,0.0,VTSMX,686.3417982155113,9890.185312285517
4,1995-10-05,14.45,0.0,10.44,0.0,11.04,0.0,13.94,0.0,10.86,0.0,VTSMX,686.3417982155113,9917.638984214138
5,1995-10-06,14.46,0.0,10.45,0.0,11.08,0.0,13.85,0.0,10.9,0.0,VUSTX,949.7131485355306,9924.502402196294
6,1995-10-09,14.32,0.0,10.46,0.0,11.0,0.0,13.88,0.0,10.83,0.0,VUSTX,949.7131485355306,9933.999533681652
7,1995-10-10,14.28,0.0,10.45,0.0,10.95,0.0,13.68,0.0,10.72,0.0,VUSTX,949.7131485355306,9924.502402196294
8,1995-10-11,14.37,0.0,10.45,0.0,10.75,0.0,13.7,0.0,10.73,0.0,VUSTX,949.7131485355306,9924.502402196294
9,1995-10-12,14.47,0.0,10.49,0.0,10.8,0.0,13.83,0.0,10.73,0.0,VUSTX,949.7131485355306,9962.490928137717
10,1995-10-13,14.52,0.0,10.61,0.0,10.79,0.0,13.94,0.0,10.74,0.0,VUSTX,949.7131485355306,10076.45650596198
11,1995-10-16,14.49,0.0,10.58,0.0,10.86,0.0,13.92,0.0,10.8,0.0,VUSTX,949.7131485355306,10047.965111505915
12,1995-10-17,14.58,0.0,10.6,0.0,10.84,0.0,13.9,0.0,10.8,0.0,VUSTX,949.7131485355306,10066.959374476624
13,1995-10-18,14.61,0.0,10.58,0.0,10.77,0.0,13.91,0.0,10.78,0.0,VUSTX,949.7131485355306,10047.965111505915
14,1995-10-19,14.66,0.0,10.6,0.0,10.83,0.0,13.88,0.0,10.8,0.0,VUSTX,949.7131485355306,10066.959374476624
15,1995-10-20,14.58,0.0,10.54,0.0,10.96,0.0,13.89,0.0,10.82,0.0,VTSMX,686.5553213693067,10009.976585564493
16,1995-10-23,14.52,0.0,10.52,0.0,10.99,0.0,13.75,0.0,10.76,0.0,VTSMX,686.5553213693067,9968.783266282333
17,1995-10-24,14.54,0.0,10.59,0.0,10.87,0.0,13.79,0.0,10.68,0.0,VTSMX,686.5553213693067,9982.51437270972
18,1995-10-25,14.42,0.0,10.59,0.0,10.75,0.0,13.84,0.0,10.57,0.0,VTSMX,686.5553213693067,9900.127734145402
19,1995-10-26,14.28,0.0,10.53,0.0,10.6,0.0,13.72,0.0,10.41,0.0,VTSMX,686.5553213693067,9804.0099891537
