,Date,Ticker,Close,Position
0,1995-09-29,VUSTX,10.34,1
1,1995-10-02,VUSTX,10.36,1
2,1995-10-03,VUSTX,10.39,1
3,1995-10-04,VUSTX,10.43,1
4,1995-10-05,VUSTX,10.44,1
5,1995-10-06,VUSTX,10.45,1
6,1995-10-09,VUSTX,10.46,1
7,1995-10-10,VUSTX,10.45,1
8,1995-10-11,VUSTX,10.45,1
9,1995-10-12,VUSTX,10.49,1
10,1995-10-13,VUSTX,10.61,1
11,1995-10-16,VUSTX,10.58,1
12,1995-10-17,VUSTX,10.6,1
13,1995-10-18,VUSTX,10.58,1
14,1995-10-19,VUSTX,10.6,1
15,1995-10-20,VUSTX,10.54,1
16,1995-10-23,VUSTX,10.52,1
17,1995-10-24,VUSTX,10.59,1
18,1995-10-25,VUSTX,10.59,1
19,1995-10-26,VUSTX,10.53,1
20,1995-10-27,VUSTX,10.55,1
21,1995-10-30,VUSTX,10.56,1
22,1995-10-31,VUSTX,10.59,1
23,1995-11-01,VUSTX,10.63,1
24,1995-11-02,VUSTX,10.67,1
25,1995-11-03,VUSTX,10.65,1
26,1995-11-06,VUSTX,10.64,1
27,1995-11-07,VUSTX,10.61,1
28,1995-11-08,VUSTX,10.68,1
29,1995-11-09,VUSTX,10.63,1
30,1995-11-10,VUSTX,10.58,1
31,1995-11-13,VUSTX,10.64,1
32,1995-11-14,VUSTX,10.62,1
33,1995-11-15,VUSTX,10.59,1
34,1995-11-16,VUSTX,10.64,1
35,1995-11-17,VUSTX,10.66,1
36,1995-11-20,VUSTX,10.63,1
37,1995-11-21,VUSTX,10.61,1
38,1995-11-22,VUSTX,10.61,1
39,1995-11-24,VUSTX,10.64,1
40,1995-11-27,VUSTX,10.68,1
41,1995-11-28,VUSTX,10.67,1
42,1995-11-29,VUSTX,10.69,1
43,1995-11-30,VUSTX,10.78,1
44,1995-12-01,VUSTX,10.82,1
45,1995-12-04,VUSTX,10.93,1
46,1995-12-05,VUSTX,10.9,1
47,1995-12-06,VUSTX,10.9,1
48,1995-12-07,VUSTX,10.86,1
49,1995-12-08,VUSTX,10.87,1
50,1995-12-11,VUSTX,10.89,1
51,1995-12-12,VUSTX,10.88,1
52,1995-12-13,VUSTX,10.86,1
53,1995-12-14,VUSTX,10.85,1
54,1995-12-15,VUSTX,10.84,1
55,1995-12-18,VUSTX,10.72,1
56,1995-12-19,VUSTX,10.81,1
57,1995-12-20,VUSTX,10.81,1
58,1995-12-21,VUSTX,10.81,1
59,1995-12-22,VUSTX,10.87,1
60,1995-12-26,VUSTX,10.89,1
61,1995-12-27,VUSTX,10.93,1
62,1995-12-28,VUSTX,10.96,1
63,1995-12-29,VTSMX,15.04,1
64,1996-01-02,VTSMX,15.14,1
65,1996-01-03,VTSMX,15.14,1
66,1996-01-04,VTSMX,15.02,1
67,1996-01-05,VTSMX,14.99,1
68,1996-01-08,VTSMX,15.03,1
69,1996-01-09,VTSMX,14.81,1
70,1996-01-10,VTSMX,14.56,1
71,1996-01-11,VTSMX,14.68,1
72,1996-01-12,VTSMX,14.66,1
73,1996-01-15,VTSMX,14.59,1
74,1996-01-16,VTSMX,14.74,1
75,1996-01-17,VTSMX,14.73,1
76,1996-01-18,VTSMX,14.78,1
77,1996-01-19,VTSMX,14.88,1
78,1996-01-22,VTSMX,14.93,1
79,1996-01-23,VTSMX,14.93,1
80,1996-01-24,VTSMX,15.09,1
81,1996-01-25,VTSMX,15.03,1
82,1996-01-26,VTSMX,15.12,1
83,1996-01-29,VTSMX,15.18,1
84,1996-01-30,VTSMX,15.32,1
85,1996-01-31,VTSMX,15.44,1
86,1996-02-01,VTSMX,15.51,1
87,1996-02-02,VTSMX,15.48,1
88,1996-02-05,VTSMX,15.59,1
89,1996-02-06,VTSMX,15.7,1
90,1996-02-07,VTSMX,15.76,1
91,1996-02-08,VTSMX,15.89,1
92,1996-02-09,VTSMX,15.9,1
93,1996-02-12,VTSMX,15.99,1
94,1996-02-13,VTSMX,15.96,1
95,1996-02-14,VTSMX,15.89,1
96,1996-02-15,VTSMX,15.84,1
97,1996-02-16,VTSMX,15.79,1
98,1996-02-20,VTSMX,15.62,1
99,1996-02-21,VTSMX,15.79,1
100,1996-02-22,VTSMX,16.040001,1
101,1996-02-23,VTSMX,16.049999,1
102,1996-02-26,VTSMX,15.88,1
103,1996-02-27,VTSMX,15.82,1
104,1996-02-28,VTSMX,15.79,1
105,1996-02-29,VTSMX,15.69,1
106,1996-03-01,VTSMX,15.75,1
107,1996-03-04,VTSMX,15.89,1
108,1996-03-05,VTSMX,16.0,1
109,1996-03-06,VTSMX,15.95,1
110,1996-03-07,VTSMX,15.98,1
111,1996-03-08,VTSMX,15.51,1
112,1996-03-11,VTSMX,15.66,1
113,1996-03-12,VTSMX,15.58,1
114,1996-03-13,VTSMX,15.65,1
115,1996-03-14,VTSMX,15.72,1
116,1996-03-15,VTSMX,15.74,1
117,1996-03-18,VTSMX,15.98,1
118,1996-03-19,VTSMX,15.96,1
119,1996-03-20,VTSMX,15.92,1
120,1996-03-21,VTSMX,15.91,1
121,1996-03-22,VTSMX,15.94,1
122,1996-03-25,VTSMX,15.9,1
123,1996-03-26,VTSMX,15.85,1
124,1996-03-27,VTSMX,15.8,1
125,1996-03-28,VTSMX,15.82,1
126,1996-03-29,VEIEX,11.83,1
127,1996-04-01,VEIEX,11.87,1
128,1996-04-02,VEIEX,11.95,1
129,1996-04-03,VEIEX,11.98,1
130,1996-04-04,VEIEX,12.01,1
131,1996-04-08,VEIEX,11.85,1
132,1996-04-09,VEIEX,11.84,1
133,1996-04-10,VEIEX,11.93,1
134,1996-04-11,VEIEX,11.9,1
135,1996-04-12,VEIEX,11.99,1
136,1996-04-15,VEIEX,12.05,1
137,1996-04-16,VEIEX,12.12,1
138,1996-04-17,VEIEX,12.15,1
139,1996-04-18,VEIEX,12.12,1
140,1996-04-19,VEIEX,12.19,1
