,File,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,Mom_1 T_1 SMA_25,12.759084843368518,14.41640548590803,-0.22389267894542264,0.8850392600180721,0.5698750358192259,0.50436178000422
1,Mom_1 T_1 SMA_50,11.864251070264253,14.774367612309439,-0.23222720257750007,0.8030293669137766,0.5108898069899823,0.410259518269867
2,Mom_1 T_1 SMA_75,16.951379279314583,14.98382332341309,-0.19989187056155122,1.1313120098544591,0.848027447624233,0.9593836361835181
3,Mom_1 T_1 SMA_100,16.61919755337491,15.052808240605131,-0.17527731141924918,1.1040596071997002,0.9481659331037507,1.0468317076626643
4,Mom_1 T_1 SMA_125,16.789246184939934,15.088135673121279,-0.19989187056155122,1.1127449108804803,0.8399164076945363,0.9346127082271101
5,Mom_1 T_1 SMA_150,15.4156518498618,15.222690491944125,-0.22953142639147484,1.0126759036465853,0.671613996053412,0.6801273103550832
6,Mom_1 T_1 SMA_175,16.41377086347213,15.19313226262814,-0.19451943525664672,1.080341471379572,0.8438113570408011,0.9116044030322525
7,Mom_1 T_1 SMA_200,15.362220155650919,15.089592890276577,-0.20137865734664784,1.0180672379537832,0.7628524471293302,0.7766350838152416
8,Mom_1 T_1 SMA_250,15.048151397657538,15.142897121334435,-0.23061242820612093,0.9937432234454388,0.6525299401560236,0.6484472061253062
9,Mom_1 T_1 SMA_300,15.283718622398567,15.209517016149103,-0.18220675538855113,1.0048786300163692,0.8388118535894259,0.8429041062764335
10,Mom_1 T_2 SMA_25,11.722561280357912,12.185200898756127,-0.19195226577230284,0.9620326638647836,0.6107018968071688,0.5875151726126768
11,Mom_1 T_2 SMA_50,11.839399489847736,12.397237067558104,-0.21056888003170338,0.9550030724853884,0.5622577984014158,0.5369579250022222
12,Mom_1 T_2 SMA_75,13.65916967712848,12.49994750643391,-0.19697893292795055,1.092738163108117,0.6934330222067264,0.7577407269246883
13,Mom_1 T_2 SMA_100,14.047899818928622,12.51756556159322,-0.17314391898552406,1.122254942449099,0.81134237351432,0.9105329886948287
14,Mom_1 T_2 SMA_125,14.03101635261601,12.61602095443978,-0.18100067012812948,1.1121586119178306,0.7751914035833968,0.8621357953799453
15,Mom_1 T_2 SMA_150,13.501336172571389,12.663069767151669,-0.17881770304776323,1.0661977246302634,0.7550335309343004,0.8050150327017046
16,Mom_1 T_2 SMA_175,13.94693083380092,12.625541058070727,-0.15814582427949597,1.1046600513714626,0.8819031989837481,0.9742032330940444
