,Date,VTSMX,VTSMX Div,VEURX,VEURX Div,VPACX,VPACX Div,VUSTX,VUSTX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
0,1995-09-29,14.57,0.0,13.95,0.0,11.09,0.0,10.34,0.055,10.93,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,10000.0
1,1995-10-02,14.49,0.0,13.95,0.0,10.8,0.0,10.36,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9888.87699512079
2,1995-10-03,14.47,0.0,13.89,0.0,10.9,0.0,10.39,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9885.799015796578
3,1995-10-04,14.41,0.0,13.93,0.0,10.96,0.0,10.43,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9907.634459973193
4,1995-10-05,14.45,0.0,13.94,0.0,11.04,0.0,10.44,0.0,10.86,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9950.335236711384
5,1995-10-06,14.46,0.0,13.85,0.0,11.08,0.0,10.45,0.0,10.9,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9954.088322333278
6,1995-10-09,14.32,0.0,13.88,0.0,11.0,0.0,10.46,0.0,10.83,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9901.39745942106
7,1995-10-10,14.28,0.0,13.68,0.0,10.95,0.0,10.45,0.0,10.72,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9822.260222052715
8,1995-10-11,14.37,0.0,13.7,0.0,10.75,0.0,10.45,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9798.488761852146
9,1995-10-12,14.47,0.0,13.83,0.0,10.8,0.0,10.49,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VEIEX,228.72827081427266,9850.21621353677
10,1995-10-13,14.52,0.0,13.94,0.0,10.79,0.0,10.61,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VEIEX,228.72827081427266,9878.54174723339
11,1995-10-16,14.49,0.0,13.92,0.0,10.86,0.0,10.58,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VEIEX,228.72827081427266,9876.656068590262
12,1995-10-17,14.58,0.0,13.9,0.0,10.84,0.0,10.6,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VEIEX,228.72827081427266,9893.099584335889
13,1995-10-18,14.61,0.0,13.91,0.0,10.77,0.0,10.58,0.0,10.78,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VEIEX,228.72827081427266,9890.879642425101
14,1995-10-19,14.66,0.0,13.88,0.0,10.83,0.0,10.6,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VEIEX,228.72827081427266,9903.242190909517
15,1995-10-20,14.58,0.0,13.89,0.0,10.96,0.0,10.54,0.0,10.82,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VEIEX,228.72827081427266,9882.126871027458
16,1995-10-23,14.52,0.0,13.75,0.0,10.99,0.0,10.52,0.0,10.76,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VEIEX,228.72827081427266,9839.632467110274
17,1995-10-24,14.54,0.0,13.79,0.0,10.87,0.0,10.59,0.0,10.68,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VEIEX,228.72827081427266,9805.478273058883
18,1995-10-25,14.42,0.0,13.84,0.0,10.75,0.0,10.59,0.0,10.57,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VEIEX,228.72827081427266,9742.232382640861
19,1995-10-26,14.28,0.0,13.72,0.0,10.6,0.0,10.53,0.0,10.41,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VEIEX,228.72827081427266,9627.03839483059
20,1995-10-27,14.34,0.0,13.64,0.0,10.42,0.0,10.55,0.0,10.43,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,217.7508401686667,VUSTX,226.12662223629042,9587.887019419351
21,1995-10-30,14.44,0.0,13.78,0.0,10.5,0.0,10.56,0.0,10.46,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,217.7508401686667,VUSTX,226.12662223629042,9634.573944733555
22,1995-10-31,14.4,0.0,13.87,0.0,10.55,0.0,10.59,0.057,10.46,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9682.456898238694
23,1995-11-01,14.47,0.0,13.83,0.0,10.44,0.0,10.63,0.0,10.36,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9705.15008510826
24,1995-11-02,14.62,0.0,13.86,0.0,10.56,0.0,10.67,0.0,10.27,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9754.114910809518
25,1995-11-03,14.66,0.0,13.88,0.0,10.57,0.0,10.65,0.0,10.3,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9755.637226091276
26,1995-11-06,14.63,0.0,13.85,0.0,10.61,0.0,10.64,0.0,10.26,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9740.6506524731
27,1995-11-07,14.56,0.0,13.9,0.0,10.59,0.0,10.61,0.0,10.23,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,218.9228701865717,VUSTX,227.34373436730726,9724.212246344414
