,Date,VUSTX,VUSTX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,Enter 1,Shares 1,Capital
1135,2000-03-29,10.09,0.0,12.5,0.0,29.26,0.0,34.560001,0.0,12.12,0.0,VEIEX,1537.9596154727187,19224.495193408984
1136,2000-03-30,10.19,0.0,12.19,0.0,28.610001,0.0,33.990002000000004,0.0,11.97,0.0,VEIEX,1537.9596154727187,18747.72771261244
1137,2000-03-31,10.24,0.053,12.19,0.0,28.82,0.0,34.369999,0.0,12.2,0.0,VPACX,1536.6989928370854,18747.72771261244
1138,2000-04-03,10.25,0.0,12.01,0.0,28.309998999999998,0.0,33.950001,0.0,12.16,0.0,VPACX,1536.6989928370854,18686.259752898957
1139,2000-04-04,10.33,0.0,11.93,0.0,28.41,0.0,33.549999,0.0,12.03,0.0,VPACX,1536.6989928370854,18486.488883830138
1140,2000-04-05,10.31,0.0,11.8,0.0,28.09,0.0,33.540001000000004,0.0,11.95,0.0,VPACX,1536.6989928370854,18363.55296440317
1141,2000-04-06,10.31,0.0,12.04,0.0,28.52,0.0,34.029999,0.0,11.8,0.0,VPACX,1536.6989928370854,18133.04811547761
1142,2000-04-07,10.39,0.0,12.21,0.0,28.85,0.0,34.5,0.0,11.8,0.0,VPACX,1536.6989928370854,18133.04811547761
1143,2000-04-10,10.4,0.0,12.16,0.0,28.85,0.0,33.869999,0.0,11.87,0.0,VPACX,1536.6989928370854,18240.617044976203
1144,2000-04-11,10.31,0.0,11.94,0.0,28.4,0.0,33.599998,0.0,11.79,0.0,VPACX,1536.6989928370854,18117.681125549236
1145,2000-04-12,10.24,0.0,11.9,0.0,28.23,0.0,32.669998,0.0,11.94,0.0,VPACX,1536.6989928370854,18348.1859744748
1146,2000-04-13,10.29,0.0,11.66,0.0,28.190001000000002,0.0,32.07,0.0,11.7,0.0,VPACX,1536.6989928370854,17979.378216193898
1147,2000-04-14,10.31,0.0,11.33,0.0,27.450001,0.0,30.0,0.0,11.44,0.0,VPACX,1536.6989928370854,17579.836478056255
1148,2000-04-17,10.19,0.0,10.72,0.0,27.059998999999998,0.0,30.9,0.0,11.06,0.0,VPACX,1536.6989928370854,16995.890860778163
1149,2000-04-18,10.18,0.0,10.99,0.0,27.25,0.0,32.060001,0.0,11.32,0.0,VPACX,1536.6989928370854,17395.432598915806
1150,2000-04-19,10.27,0.0,10.98,0.0,27.360001,0.0,31.799999,0.0,11.42,0.0,VPACX,1536.6989928370854,17549.102498199514
1151,2000-04-20,10.27,0.0,11.02,0.0,27.52,0.0,31.870001000000002,0.0,11.43,0.0,VPACX,1536.6989928370854,17564.469488127885
1152,2000-04-24,10.24,0.0,10.97,0.0,27.5,0.0,31.57,0.0,11.62,0.0,VPACX,1536.6989928370854,17856.44229676693
1153,2000-04-25,10.17,0.0,11.17,0.0,27.469998999999998,0.0,32.73,0.0,11.63,0.0,VPACX,1536.6989928370854,17871.809286695305
1154,2000-04-26,10.16,0.0,11.2,0.0,27.610001,0.0,32.349998,0.0,11.55,0.0,VPACX,1536.6989928370854,17748.873367268337
1155,2000-04-27,10.1,0.0,11.22,0.0,27.059998999999998,0.0,32.580002,0.0,11.47,0.0,VPACX,1536.6989928370854,17625.93744784137
1156,2000-04-28,10.12,0.052000000000000005,11.28,0.0,27.57,0.0,32.580002,0.0,11.35,0.0,VPACX,1536.6989928370854,17441.533568700917
1157,2000-05-01,10.11,0.0,11.28,0.0,27.49,0.0,33.029999,0.0,11.53,0.0,VPACX,1536.6989928370854,17718.139387411593
1158,2000-05-02,10.05,0.0,11.34,0.0,27.98,0.0,32.380001,0.0,11.58,0.0,VPACX,1536.6989928370854,17794.97433705345
1159,2000-05-03,9.95,0.0,11.14,0.0,27.1,0.0,31.709999,0.0,11.56,0.0,VPACX,1536.6989928370854,17764.240357196708
1160,2000-05-04,9.87,0.0,11.07,0.0,27.049999,0.0,31.73,0.0,11.61,0.0,VPACX,1536.6989928370854,17841.07530683856
1161,2000-05-05,9.83,0.0,11.05,0.0,27.15,0.0,32.220001,0.0,11.58,0.0,VPACX,1536.6989928370854,17794.97433705345
1162,2000-05-08,9.77,0.0,10.87,0.0,26.98,0.0,31.93,0.0,11.49,0.0,VPACX,1536.6989928370854,17656.67142769811
1163,2000-05-09,9.82,0.0,10.81,0.0,26.809998999999998,0.0,31.58,0.0,11.27,0.0,VPACX,1536.6989928370854,17318.59764927395
1164,2000-05-10,9.87,0.0,10.69,0.0,26.530001000000002,0.0,30.790001,0.0,11.24,0.0,VPACX,1536.6989928370854,17272.49667948884
1165,2000-05-11,9.89,0.0,10.67,0.0,26.780001000000002,0.0,31.4,0.0,10.97,0.0,VPACX,1536.6989928370854,16857.58795142283
1166,2000-05-12,9.82,0.0,10.78,0.0,27.43,0.0,31.67,0.0,11.18,0.0,VPACX,1536.6989928370854,17180.294739918612
1167,2000-05-15,9.87,0.0,10.84,0.0,27.219998999999998,0.0,32.360001000000004,0.0,11.1,0.0,VPACX,1536.6989928370854,17057.35882049165
1168,2000-05-16,9.91,0.0,11.0,0.0,27.450001,0.0,32.75,0.0,11.16,0.0,VPACX,1536.6989928370854,17149.56076006187
1169,2000-05-17,9.86,0.0,10.8,0.0,26.67,0.0,32.32,0.0,11.07,0.0,VPACX,1536.6989928370854,17011.257850706537
1170,2000-05-18,9.78,0.0,10.65,0.0,26.780001000000002,0.0,32.0,0.0,11.0,0.0,VPACX,1536.6989928370854,16903.68892120794
1171,2000-05-19,9.81,0.0,10.47,0.0,25.959999,0.0,31.27,0.0,11.04,0.0,VPACX,1536.6989928370854,16965.156880921422
