,Unnamed: 0,Close,Date,Ticker,Gain
0,0,11.18,1995-07-31,VEIEX,0.0
1,1,10.91,1995-08-31,VEIEX,-0.024150268336314812
2,2,10.93,1995-09-29,VEIEX,0.001833180568285937
3,3,10.46,1995-10-31,VEIEX,-0.04300091491308315
4,4,10.5,1995-11-30,VEIEX,0.003824091778202595
5,5,10.74,1995-12-29,VEIEX,0.022857142857142878
6,6,11.85,1996-01-31,VEIEX,0.10335195530726252
7,7,11.66,1996-02-29,VEIEX,-0.01603375527426156
8,8,11.83,1996-03-29,VEIEX,0.014579759862778725
9,9,12.15,1996-04-30,VEIEX,0.02704987320371938
10,10,12.33,1996-05-31,VEIEX,0.014814814814814791
11,11,12.33,1996-06-28,VEIEX,0.0
12,12,11.5,1996-07-31,VEIEX,-0.06731549067315491
13,13,11.86,1996-08-30,VEIEX,0.03130434782608691
14,14,12.13,1996-09-30,VEIEX,0.0227655986509276
15,15,11.95,1996-10-31,VEIEX,-0.014839241549876462
16,16,12.37,1996-11-29,VEIEX,0.03514644351464435
17,17,12.28,1996-12-31,VEIEX,-0.007275666936135802
18,18,12.91,1997-01-31,VEIEX,0.05130293159609127
19,19,13.3,1997-02-28,VEIEX,0.030209140201394313
20,20,12.88,1997-03-31,VEIEX,-0.03157894736842105
21,21,12.67,1997-04-30,VEIEX,-0.016304347826087022
22,22,13.24,1997-05-30,VEIEX,0.04498816101026048
23,23,13.76,1997-06-30,VEIEX,0.03927492447129906
24,24,13.97,1997-07-31,VEIEX,0.015261627906976806
25,25,11.86,1997-08-29,VEIEX,-0.15103793843951333
26,26,12.48,1997-09-30,VEIEX,0.05227655986509284
27,27,10.22,1997-10-31,VEIEX,-0.18108974358974356
28,28,10.08,1997-11-28,VEIEX,-0.013698630136986356
29,29,9.99,1997-12-31,VEIEX,-0.008928571428571414
30,30,9.18,1998-01-30,VEIEX,-0.08108108108108113
31,31,10.27,1998-02-27,VEIEX,0.11873638344226578
32,32,10.64,1998-03-31,VEIEX,0.03602726387536524
33,33,10.53,1998-04-30,VEIEX,-0.010338345864661766
34,34,9.21,1998-05-29,VEIEX,-0.12535612535612523
35,35,8.35,1998-06-30,VEIEX,-0.0933767643865365
36,36,8.5,1998-07-31,VEIEX,0.01796407185628747
37,37,6.28,1998-08-31,VEIEX,-0.2611764705882353
38,38,6.87,1998-09-30,VEIEX,0.09394904458598724
39,39,7.93,1998-10-30,VEIEX,0.15429403202328962
40,40,8.43,1998-11-30,VEIEX,0.06305170239596469
41,41,7.91,1998-12-31,VEIEX,-0.06168446026097267
42,42,7.68,1999-01-29,VEIEX,-0.029077117572692848
43,43,7.85,1999-02-26,VEIEX,0.022135416666666657
44,44,8.77,1999-03-31,VEIEX,0.11719745222929936
45,45,10.12,1999-04-30,VEIEX,0.15393386545039905
46,46,9.7,1999-05-28,VEIEX,-0.04150197628458498
47,47,10.47,1999-06-30,VEIEX,0.07938144329896922
48,48,10.11,1999-07-30,VEIEX,-0.034383954154727905
49,49,10.01,1999-08-31,VEIEX,-0.009891196834816979
50,50,9.96,1999-09-30,VEIEX,-0.004995004995004888
51,51,10.34,1999-10-29,VEIEX,0.03815261044176697
52,52,11.18,1999-11-30,VEIEX,0.08123791102514505
53,53,12.5,1999-12-31,VEIEX,0.11806797853309484
54,54,11.89,2000-01-31,VEIEX,-0.048799999999999955
55,55,12.31,2000-02-29,VEIEX,0.0353238015138772
56,56,12.19,2000-03-31,VEIEX,-0.00974817221770926
57,57,11.28,2000-04-28,VEIEX,-0.07465135356849878
58,58,10.68,2000-05-31,VEIEX,-0.0531914893617021
59,59,11.34,2000-06-30,VEIEX,0.061797752808988776
60,60,10.76,2000-07-31,VEIEX,-0.05114638447971782
61,61,10.93,2000-08-31,VEIEX,0.015799256505576204
62,62,10.25,2000-09-29,VEIEX,-0.06221408966148213
63,63,9.47,2000-10-31,VEIEX,-0.0760975609756097
64,64,8.53,2000-11-30,VEIEX,-0.09926082365364321
65,65,8.84,2000-12-29,VEIEX,0.03634232121922632
66,66,9.88,2001-01-31,VEIEX,0.11764705882352952
67,67,9.02,2001-02-28,VEIEX,-0.08704453441295558
68,68,8.07,2001-03-30,VEIEX,-0.10532150776053208
69,69,8.82,2001-04-30,VEIEX,0.09293680297397769
70,70,8.96,2001-05-31,VEIEX,0.015873015873015938
71,71,8.76,2001-06-29,VEIEX,-0.02232142857142869
72,72,8.17,2001-07-31,VEIEX,-0.06735159817351596
73,73,8.09,2001-08-31,VEIEX,-0.009791921664626693
74,74,6.83,2001-09-28,VEIEX,-0.15574783683559948
75,75,7.28,2001-10-31,VEIEX,0.06588579795021965
76,76,7.96,2001-11-30,VEIEX,0.09340659340659337
77,77,8.37,2001-12-31,VEIEX,0.051507537688442115
78,78,8.61,2002-01-31,VEIEX,0.028673835125448056
79,79,8.84,2002-02-28,VEIEX,0.026713124274099935
80,80,9.24,2002-03-28,VEIEX,0.04524886877828058
81,81,9.27,2002-04-30,VEIEX,0.0032467532467531776
82,82,9.23,2002-05-31,VEIEX,-0.004314994606256651
83,83,8.47,2002-06-28,VEIEX,-0.08234019501625132
84,84,7.75,2002-07-31,VEIEX,-0.08500590318772144
85,85,7.86,2002-08-30,VEIEX,0.014193548387096815
86,86,7.02,2002-09-30,VEIEX,-0.10687022900763368
87,87,7.48,2002-10-31,VEIEX,0.06552706552706565
88,88,7.96,2002-11-29,VEIEX,0.06417112299465234
89,89,7.63,2002-12-31,VEIEX,-0.04145728643216081
90,90,7.64,2003-01-31,VEIEX,0.0013106159895150441
91,91,7.35,2003-02-28,VEIEX,-0.03795811518324608
92,92,7.2,2003-03-31,VEIEX,-0.02040816326530605
93,93,7.83,2003-04-30,VEIEX,0.08749999999999998
94,94,8.33,2003-05-30,VEIEX,0.06385696040868455
95,95,8.82,2003-06-30,VEIEX,0.05882352941176473
96,96,9.44,2003-07-31,VEIEX,0.07029478458049877
97,97,10.04,2003-08-29,VEIEX,0.06355932203389827
98,98,10.12,2003-09-30,VEIEX,0.00796812749003985
99,99,11.04,2003-10-31,VEIEX,0.09090909090909091
100,100,11.16,2003-11-28,VEIEX,0.010869565217391396
101,101,11.85,2003-12-31,VEIEX,0.061827956989247264
102,102,12.22,2004-01-30,VEIEX,0.031223628691983207
103,103,12.73,2004-02-27,VEIEX,0.041734860883797034
104,104,12.78,2004-03-31,VEIEX,0.00392772977219159
105,105,11.77,2004-04-30,VEIEX,-0.07902973395931141
106,106,11.67,2004-05-28,VEIEX,-0.008496176720475757
107,107,11.66,2004-06-30,VEIEX,-0.0008568980291345147
108,108,11.45,2004-07-30,VEIEX,-0.01801029159519733
109,109,11.92,2004-08-31,VEIEX,0.04104803493449787
110,110,12.59,2004-09-30,VEIEX,0.05620805369127516
111,111,12.88,2004-10-29,VEIEX,0.02303415409054813
112,112,14.19,2004-11-30,VEIEX,0.10170807453416139
113,113,14.68,2004-12-31,VEIEX,0.034531360112755476
114,114,14.66,2005-01-31,VEIEX,-0.0013623978201634586
115,115,15.96,2005-02-28,VEIEX,0.08867667121418832
116,116,14.89,2005-03-31,VEIEX,-0.06704260651629074
117,117,14.46,2005-04-29,VEIEX,-0.028878441907320328
118,118,14.95,2005-05-31,VEIEX,0.033886583679114686
119,119,15.45,2005-06-30,VEIEX,0.033444816053511704
120,120,16.5,2005-07-29,VEIEX,0.06796116504854374
121,121,16.66,2005-08-31,VEIEX,0.009696969696969706
122,122,18.1,2005-09-30,VEIEX,0.08643457382953189
123,123,16.91,2005-10-31,VEIEX,-0.06574585635359123
124,124,18.26,2005-11-30,VEIEX,0.07983441750443533
125,125,19.07,2005-12-30,VEIEX,0.04435925520262862
126,126,21.26,2006-01-31,VEIEX,0.11484006292606194
127,127,20.950001,2006-02-28,VEIEX,-0.01458132643461906
128,128,21.200001,2006-03-31,VEIEX,0.011933173654741114
129,129,22.719999,2006-04-28,VEIEX,0.07169801548594272
130,130,20.280001,2006-05-31,VEIEX,-0.10739428289587524
131,131,20.24,2006-06-30,VEIEX,-0.0019724358001757584
132,132,20.48,2006-07-31,VEIEX,0.011857707509881523
133,133,20.889999,2006-08-31,VEIEX,0.020019482421874957
134,134,21.049999,2006-09-29,VEIEX,0.007659167432224393
135,135,22.049999,2006-10-31,VEIEX,0.04750594049909456
136,136,23.690001,2006-11-30,VEIEX,0.0743765113095923
137,137,24.27,2006-12-29,VEIEX,0.024482860933606583
